borough,zip_code,latitude,longitude,on_street_name,number_of_persons_injured,number_of_persons_killed
BRONX,10472,40.829052000000004,-73.85038,CASTLE HILL AVENUE              ,1,0
QUEENS,11420,40.677303,-73.804565,135 STREET                      ,0,0
BROOKLYN,11203,40.651646,-73.93233000000001,EAST 48 STREET                  ,0,0
BROOKLYN,11203,40.652972999999996,-73.94400999999999,BROOKLYN AVENUE                 ,3,0
BRONX,10463,40.886536,-73.89985,WEST 240 STREET                 ,0,0
QUEENS,11419,40.686234000000006,-73.82418,LEFFERTS BOULEVARD              ,0,0
BRONX,10453,40.848255,-73.90975999999999,WALTON AVENUE                   ,0,0
BROOKLYN,11207,40.66322,-73.893654,PENNSYLVANIA AVENUE             ,8,0
QUEENS,11422,40.659714,-73.73981500000001,145 AVENUE                      ,0,0
STATEN ISLAND,10312,40.558887,-74.1977,ARDEN AVENUE                    ,1,0
BROOKLYN,11233,40.678894,-73.90347,TRUXTON STREET                  ,0,0
QUEENS,11417,40.676373,-73.84701,90 STREET                       ,0,0
QUEENS,11691,40.599243,-73.752495,BEACH 19 STREET                 ,0,0
BROOKLYN,11203,40.651733,-73.93039,UTICA AVENUE                    ,1,0
MANHATTAN,10013,40.71755,-73.99932,CANAL STREET                    ,0,0
BROOKLYN,11226,40.637221999999994,-73.9598,EAST 19 STREET                  ,1,0
MANHATTAN,10002,40.7224,-73.99165,CHRYSTIE STREET                 ,1,0
BRONX,10461,40.843212,-73.83894000000001,WATERS PLACE                    ,0,0
MANHATTAN,10033,40.84554,-73.93278000000001,WEST 177 STREET                 ,0,0
BROOKLYN,11206,40.702723999999996,-73.95002,HARRISON AVENUE                 ,0,0
BROOKLYN,11221,40.6889,-73.92726,PATCHEN AVENUE                  ,1,0
BRONX,10467,40.866046999999995,-73.87207,SOUTHERN BOULEVARD              ,0,0
MANHATTAN,10011,40.738552,-73.99969,WEST 14 STREET                  ,0,0
BRONX,10463,40.876503,-73.90456400000001,WEST 230 STREET                 ,0,0
MANHATTAN,10027,40.81269,-73.95313,WEST 127 STREET                 ,1,0
BRONX,10453,40.848637,-73.91169000000001,JEROME AVENUE                   ,3,0
STATEN ISLAND,10305,40.601006,-74.076454,STEUBEN STREET                  ,0,0
MANHATTAN,10011,40.73723,-74.000656,WEST 12 STREET                  ,0,0
